date,student_id,student_name,present
2026-05-20,1,Sanjay,1
2026-05-20,2,Sairam,1
2026-05-20,3,Srinath,1
2026-05-20,4,Sai,1
2026-05-21,1,Sanjay,1
2026-05-21,2,Sairam,0
2026-05-21,3,Srinath,1
2026-05-21,4,Sai,1
2026-05-22,1,Sanjay,1
2026-05-22,2,Sairam,1
2026-05-22,3,Srinath,0
2026-05-22,4,Sai,1
2026-05-23,1,Sanjay,0
2026-05-23,2,Sairam,1
2026-05-23,3,Srinath,1
2026-05-23,4,Sai,1
2026-05-24,1,Sanjay,1
2026-05-24,2,Sairam,1
2026-05-24,3,Srinath,1
2026-05-24,4,Sai,0
2026-05-25,1,Sanjay,1
2026-05-25,2,Sairam,0
2026-05-25,3,Srinath,1
2026-05-25,4,Sai,1
2026-05-26,1,Sanjay,1
2026-05-26,2,Sairam,1
2026-05-26,3,Srinath,1
2026-05-26,4,Sai,0
2026-05-27,1,Sanjay,0
2026-05-27,2,Sairam,1
2026-05-27,3,Srinath,1
2026-05-27,4,Sai,1
2026-05-28,1,Sanjay,1
2026-05-28,2,Sairam,1
2026-05-28,3,Srinath,0
2026-05-28,4,Sai,1
2026-05-29,1,Sanjay,1
2026-05-29,2,Sairam,1
2026-05-29,3,Srinath,1
2026-05-29,4,Sai,1
2026-05-30,1,Sanjay,1
2026-05-30,2,Sairam,0
2026-05-30,3,Srinath,1
2026-05-30,4,Sai,1
2026-05-31,1,Sanjay,1
2026-05-31,2,Sairam,1
2026-05-31,3,Srinath,1
2026-05-31,4,Sai,0
2026-06-01,1,Sanjay,1
2026-06-01,2,Sairam,1
2026-06-01,3,Srinath,1
2026-06-01,4,Sai,1
2026-06-02,1,Sanjay,1
2026-06-02,2,Sairam,1
2026-06-02,3,Srinath,0
2026-06-02,4,Sai,0
2026-06-03,1,Sanjay,0
2026-06-03,2,Sairam,0
2026-06-03,3,Srinath,1
2026-06-03,4,Sai,0
2026-06-04,1,Sanjay,1
2026-06-04,2,Sairam,0
2026-06-04,3,Srinath,0
2026-06-04,4,Sai,0
2026-06-05,1,Sanjay,1
2026-06-05,2,Sairam,0
2026-06-05,3,Srinath,0
2026-06-05,4,Sai,0
2026-06-06,1,Sanjay,1
2026-06-06,2,Sairam,0
2026-06-06,3,Srinath,0
2026-06-06,4,Sai,0
2026-06-07,1,Sanjay,1
